STATE,STUSAB,STATE_NAME,population,cong_districts,state_sen_districts,state_house_districts
1,AL,Alabama,4887871,7,35,105
2,AK,Alaska,737438,1,20,40
4,AZ,Arizona,7171646,9,30,60
5,AR,Arkansas,3013825,4,35,100
6,CA,California,39557045,53,40,80
8,CO,Colorado,5695564,7,35,65
9,CT,Connecticut,3572665,5,36,151
10,DE,Delaware,967171,1,21,41
12,FL,Florida,21299325,27,40,120
13,GA,Georgia,10519475,14,56,180
15,HI,Hawaii,1420491,2,25,51
16,ID,Idaho,1754208,2,35,70
17,IL,Illinois,12741080,18,59,118
18,IN,Indiana,6691878,9,50,100
19,IA,Iowa,3156145,4,50,100
20,KS,Kansas,2911505,4,40,125
21,KY,Kentucky,4468402,6,38,100
22,LA,Louisiana,4659978,6,39,105
23,ME,Maine,1338404,2,35,151
24,MD,Maryland,6042718,8,47,141
25,MA,Massachusetts,6902149,9,40,160
26,MI,Michigan,9995915,14,38,110
27,MN,Minnesota,5611179,8,67,134
28,MS,Mississippi,2986530,4,52,122
29,MO,Missouri,6126452,8,34,163
30,MT,Montana,1062305,1,50,100
31,NE,Nebraska,1929268,3,49,0
32,NV,Nevada,3034392,4,21,42
33,NH,New Hampshire,1356458,2,24,400
34,NJ,New Jersey,8908520,12,40,80
35,NM,New Mexico,2095428,3,42,70
36,NY,New York,19542209,27,63,150
37,NC,North Carolina,10383620,13,50,120
38,ND,North Dakota,760077,1,47,94
39,OH,Ohio,11689442,16,33,99
40,OK,Oklahoma,3943079,5,48,101
41,OR,Oregon,4190713,5,30,60
42,PA,Pennsylvania,12807060,18,50,203
44,RI,Rhode Island,1057315,2,38,75
45,SC,South Carolina,5084127,7,46,124
46,SD,South Dakota,882235,1,35,70
47,TN,Tennessee,6770010,9,33,99
48,TX,Texas,28701845,36,31,150
49,UT,Utah,3161105,4,29,75
50,VT,Vermont,626299,1,30,150
51,VA,Virginia,8517685,11,40,100
53,WA,Washington,7535591,10,49,98
54,WV,West Virginia,1805832,3,34,100
55,WI,Wisconsin,5813568,8,33,99
56,WY,Wyoming,577737,1,30,60
